iid	sid	time	duration	azimuth	species
0	0	16.7	2.1000000000000014	-149.99927221917267	1
1	1	17.7	3.1000000000000014	-149.99927221917267	1
2	2	30.5	5.100000000000001	-149.99927221917267	1
3	3	45.3	5.100000000000001	-59.999272219172624	6
4	4	60.5	5.099999999999994	-9.99735865418825	8
5	5	75.3	5.1000000000000085	30.000727780827372	10
6	6	90.1	5.1000000000000085	114.99924025740066	14
7	7	105.5	3.0999999999999943	165.00067105795696	17
8	8	107.7	2.0999999999999943	-139.99781932208072	2
9	9	107.9	2.0999999999999943	124.99952996711295	15
10	10	108.1	2.3000000000000114	5.002499605710734	9
11	11	126.5	2.6999999999999886	-149.99927221917267	1
12	12	126.9	3.6999999999999886	30.000727780827372	10
13	13	131.3	2.0999999999999943	30.000727780827372	10
14	14	132.7	2.1000000000000227	30.000727780827372	10
15	15	135.9	2.0999999999999943	-24.99924025740066	7
